date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:08	19000/19000	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-4a38%22	https://themewagon.github.io/Kelly/about.html	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/about.html	(from https://themewagon.github.io/Kelly/index.html)
18:31:08	9898/9898	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-26aa%22	https://themewagon.github.io/Kelly/resume.html	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/resume.html	(from https://themewagon.github.io/Kelly/index.html)
18:31:08	16101/16101	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-3ee5%22	https://themewagon.github.io/Kelly/services.html	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/services.html	(from https://themewagon.github.io/Kelly/index.html)
18:31:08	13592/13592	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-3518%22	https://themewagon.github.io/Kelly/portfolio.html	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/portfolio.html	(from https://themewagon.github.io/Kelly/index.html)
18:31:09	9715/9715	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-25f3%22	https://themewagon.github.io/Kelly/contact.html	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/contact.html	(from https://themewagon.github.io/Kelly/index.html)
18:31:09	120506/120506	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-1d6ba%22	https://themewagon.github.io/Kelly/assets/img/hero-bg.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/hero-bg.jpg	(from https://themewagon.github.io/Kelly/index.html)
18:31:09	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-13b51%22	https://themewagon.github.io/Kelly/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:10	2734/2734	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-aae%22	https://themewagon.github.io/Kelly/assets/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/php-email-form/validate.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:11	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-35e8%22	https://themewagon.github.io/Kelly/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/aos/aos.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:11	21112/21112	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-5278%22	https://themewagon.github.io/Kelly/assets/vendor/waypoints/noframework.waypoints.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/waypoints/noframework.waypoints.js	(from https://themewagon.github.io/Kelly/index.html)
